match_id,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5,blue_team_won
EUW1_7299210345,Irelia,Ryze,Twitch,Yuumi,Zac,FiddleSticks,Mel,Nami,Ornn,Yone,1
EUW1_7299492337,Caitlyn,Chogath,Illaoi,Mel,Sejuani,Aphelios,Chogath,Gwen,Lux,Mel,0
EUW1_7299547791,Mordekaiser,Rell,Rengar,Xayah,Zoe,Draven,Garen,Maokai,Sion,Yasuo,1
EUW1_7314142395,Aurora,Darius,Ezreal,Leona,Pantheon,Kaisa,MasterYi,Seraphine,Sett,Swain,1
EUW1_7314155652,Akali,Kaisa,MasterYi,Mel,Volibear,Darius,Kaisa,Sett,Swain,Yone,0
EUW1_7348306793,Azir,Ezreal,Fiora,Karma,Naafiri,Ashe,Ivern,Quinn,Tristana,Zyra,1
EUW1_7348574010,Brand,Ezreal,Lux,Shaco,Sion,Blitzcrank,Jhin,LeeSin,Shen,TwistedFate,0
EUW1_7348601826,Gragas,Jhin,LeeSin,Lux,Nautilus,Ekko,Jayce,Swain,Tristana,Viktor,1
EUW1_7349074819,Gwen,Jayce,Rell,Singed,Yasuo,Gragas,Jhin,Kayle,Smolder,Sylas,0
EUW1_7349082415,Aurora,Bard,Corki,LeeSin,Orianna,Kayle,Nami,Neeko,Varus,Vi,0
EUW1_7349370729,Brand,Neeko,Pantheon,Vayne,Volibear,Corki,Kayn,Nami,Seraphine,Sion,0
EUW1_7349952527,Brand,MonkeyKing,Nami,Sion,Yone,Chogath,JarvanIV,Lulu,Sivir,Taliyah,0
EUW1_7351469059,Ahri,Ezreal,Gwen,Lux,Sion,Hecarim,Jinx,Neeko,Pantheon,Veigar,0
EUW1_7352134244,Akali,Azir,Lux,Malphite,Rengar,Anivia,Jinx,Kayn,Mel,Riven,1
EUW1_7354279671,AurelionSol,Singed,Thresh,Udyr,Varus,Galio,Gwen,Kaisa,Sion,Xerath,0
EUW1_7355762658,Camille,Kaisa,Leblanc,Leona,Lillia,Corki,Jax,Naafiri,Nami,Volibear,0
EUW1_7355795506,Chogath,Lucian,Milio,Nocturne,Velkoz,Diana,Jhin,Nami,Olaf,Xerath,1
EUW1_7356638093,Ekko,Graves,Jhin,Leblanc,Trundle,Janna,Sion,Vayne,Volibear,Zed,1
EUW1_7357141340,Corki,Galio,Ivern,LeeSin,Riven,Elise,Gangplank,Volibear,Xayah,XinZhao,0
EUW1_7357179384,Anivia,Kaisa,Mel,Nami,Vi,Camille,Draven,Gwen,Janna,Yasuo,0
EUW1_7357467477,Ahri,AurelionSol,Nasus,Vi,Yorick,Irelia,Kindred,Renata,Shaco,Sivir,1
EUW1_7357659104,Malphite,Milio,Nidalee,Nilah,Yasuo,Diana,Kaisa,LeeSin,Neeko,Yone,1
EUW1_7359662606,Ahri,DrMundo,Ezreal,Rell,Vayne,Ekko,Kayn,Lucian,Nami,Rengar,0
EUW1_7359959984,Karthus,Renata,Renekton,Sona,Yasuo,Graves,Nami,Rammus,Senna,Viktor,0
EUW1_7360003766,Chogath,Heimerdinger,Poppy,Swain,Zoe,Aphelios,Ashe,Malphite,Orianna,Syndra,1
EUW1_7360663445,Ahri,Ashe,Jayce,Nami,Vi,Corki,Elise,Gwen,Katarina,Sion,0
EUW1_7360699468,Belveth,Kaisa,Leblanc,Nautilus,Sejuani,Aatrox,Jayce,Talon,Thresh,Zyra,1
EUW1_7361305674,Annie,Caitlyn,Gangplank,Lux,Viego,Diana,Jinx,LeeSin,Velkoz,Yasuo,0
EUW1_7361349545,Gangplank,Leona,MasterYi,Twitch,Ziggs,Ahri,Rakan,Shaco,Sion,Xayah,0
EUW1_7361391967,Gragas,Kalista,Kindred,Nautilus,Talon,Diana,Ekko,Riven,Vex,Zed,1
EUW1_7361786840,Milio,MissFortune,Sylas,Volibear,Yone,Gragas,Jhin,Nami,Syndra,Vi,1
EUW1_7362012438,Jinx,Orianna,Qiyana,Thresh,Vladimir,Nautilus,Ryze,Sivir,Talon,Veigar,1
EUW1_7362071821,Ekko,Jax,MissFortune,Rakan,Sejuani,Akshan,FiddleSticks,Kaisa,Malphite,Thresh,0
EUW1_7362726101,Brand,Nautilus,Smolder,Swain,Urgot,Corki,Garen,Hwei,Nami,Sejuani,1
EUW1_7362753219,Jhin,Karma,Kindred,Ornn,Taliyah,Gnar,Hecarim,Kaisa,Mel,Yuumi,1
EUW1_7362821063,Kayn,Lulu,Sett,Tristana,Xerath,Amumu,Hwei,Pantheon,Samira,Yorick,1
EUW1_7362854874,Nasus,Quinn,Shaco,Ziggs,Zilean,Hecarim,Irelia,Kaisa,Leblanc,Nautilus,1
EUW1_7362888858,Galio,JarvanIV,Lux,Sett,Syndra,Azir,Kindred,Lissandra,Tristana,Warwick,1
EUW1_7362922465,Darius,Fizz,Jinx,Sett,Thresh,Bard,Gwen,Katarina,Teemo,Xayah,0
EUW1_7363098437,Darius,Sona,Taliyah,Talon,Varus,Leona,Lux,Naafiri,Volibear,Zeri,0
EUW1_7363156941,Draven,Jayce,Velkoz,Vex,Vi,Akshan,Elise,Jinx,Mordekaiser,Thresh,0
EUW1_7363213938,Anivia,Karma,Malphite,Shaco,Vayne,Akshan,Irelia,JarvanIV,Jinx,Lulu,1
EUW1_7363263020,Gwen,Lux,Nami,Shen,Zeri,Akali,Alistar,Draven,Hecarim,Yone,1
EUW1_7363570702,Ahri,Briar,Ezreal,Gangplank,Soraka,Jhin,Neeko,Shaco,Viktor,Yasuo,1
EUW1_7363861753,Akshan,Smolder,Soraka,Urgot,Zyra,Brand,Lissandra,Pantheon,Twitch,Yuumi,1
EUW1_7363895236,Nocturne,Soraka,Sylas,Tristana,Trundle,Ashe,Azir,Kindred,Seraphine,Urgot,1
EUW1_7366144102,Diana,Irelia,Jinx,Rell,Volibear,Lillia,Lucian,Nautilus,Renekton,Viktor,1
EUW1_7366186009,Jinx,Karma,Orianna,Renata,Talon,Graves,Kaisa,Kennen,Lissandra,Veigar,0
EUW1_7366236566,Caitlyn,Camille,Kassadin,Sona,Yorick,Ahri,Bard,FiddleSticks,Renekton,Sivir,1
EUW1_7366275410,Jayce,LeeSin,Lux,Syndra,Urgot,Ahri,Elise,Gangplank,Tristana,Viego,0
EUW1_7366321753,Ashe,Kayle,Sylas,XinZhao,Ziggs,Illaoi,LeeSin,Lux,Malzahar,Orianna,0
EUW1_7366363046,Chogath,Fizz,Nocturne,Thresh,Varus,Kaisa,Nami,Sett,Sylas,Vi,0
EUW1_7366402261,Graves,Jax,Jinx,Mel,Qiyana,Kayle,Lux,Malzahar,MonkeyKing,Yasuo,0
EUW1_7367370483,Illaoi,Soraka,Syndra,Vex,Viktor,Blitzcrank,Gnar,Malzahar,Sett,Xerath,1
EUW1_7368524338,Naafiri,Poppy,Shaco,Syndra,Xayah,Diana,KSante,Kaisa,Nautilus,Tristana,0
EUW1_7368565978,Corki,Pantheon,Renata,Singed,Varus,Galio,Jhin,Kindred,Rell,Yone,1
EUW1_7371921283,LeeSin,Nautilus,Volibear,Xayah,Zoe,Ashe,Gwen,RekSai,Shaco,Taliyah,1
EUW1_7371966175,Aphelios,Diana,KSante,Kindred,Lulu,Kalista,Nautilus,Olaf,Velkoz,Viego,0
EUW1_7373656653,Briar,Gwen,Janna,Jinx,Yone,Darius,Kaisa,Lulu,Sylas,Vi,0
EUW1_7374274438,Braum,Corki,Gnar,Varus,Volibear,Jinx,Nautilus,Talon,Vayne,Zac,0
EUW1_7374679916,Alistar,Ambessa,Ashe,Aurora,Yorick,Ezreal,Gangplank,MasterYi,Morgana,Viktor,0
EUW1_7374712088,Jayce,Kaisa,Lulu,MasterYi,Sylas,Cassiopeia,Kalista,Kayle,Sejuani,Yasuo,1
EUW1_7375794361,Kaisa,Nautilus,Nocturne,Orianna,Yone,Ahri,Shyvana,Sion,Thresh,Tristana,1
EUW1_7375842634,Amumu,Darius,Janna,Tristana,Vex,Aatrox,Kaisa,Nautilus,Nocturne,Orianna,0
EUW1_7376242782,Akali,Amumu,Lulu,Renekton,Twitch,Akshan,Garen,JarvanIV,Seraphine,Sona,1
EUW1_7376272219,Leona,MasterYi,Seraphine,Sett,Viktor,Brand,Nautilus,Ornn,Tristana,Zilean,1
EUW1_7378099882,Brand,Lissandra,MissFortune,Sion,Warwick,Darius,Gangplank,Mel,Morgana,Ryze,1
EUW1_7378894548,Elise,Ezreal,Trundle,Velkoz,Zilean,Nasus,Nunu,Senna,Sion,Veigar,0
EUW1_7379526396,Pantheon,Talon,Tryndamere,Velkoz,Vladimir,Chogath,Gangplank,Ivern,Maokai,XinZhao,1
EUW1_7379551173,FiddleSticks,Lucian,Sejuani,Swain,Zed,Nami,Pantheon,Teemo,Xayah,XinZhao,1
EUW1_7379582549,Ahri,Jhin,Tryndamere,Veigar,Zed,Alistar,Brand,Ivern,Kaisa,Talon,0
EUW1_7379608158,DrMundo,Ezreal,Karma,Kayn,Malzahar,Alistar,Corki,Nunu,Singed,Tristana,1
EUW1_7379645178,Ambessa,Ezreal,JarvanIV,Nidalee,Taliyah,Draven,KSante,Nautilus,TwistedFate,Viego,0
EUW1_7379827184,Annie,Gangplank,Jinx,Lulu,Talon,Ahri,Bard,Darius,Sion,Sivir,0
EUW1_7380177049,Ahri,Ashe,JarvanIV,Shen,Yasuo,Amumu,Poppy,Taliyah,Vayne,Viego,1
EUW1_7380223469,Diana,Senna,Singed,Vayne,Yorick,Akali,Ashe,Nocturne,Pyke,Volibear,0
EUW1_7380266544,Ahri,Annie,Graves,Janna,Samira,Akshan,Kaisa,Talon,Viego,Zilean,1
EUW1_7380560557,Fizz,Garen,Jhin,Kindred,Soraka,Hecarim,Hwei,Kaisa,Pantheon,Xerath,1
EUW1_7380589330,Gwen,Jinx,Mel,Warwick,Zyra,Draven,Janna,Nunu,Ornn,Syndra,0
EUW1_7380902733,Alistar,Corki,Ezreal,Khazix,Teemo,Akshan,Janna,Kaisa,LeeSin,Riven,1
EUW1_7380935685,Karma,Mel,Riven,Shyvana,Zeri,Ekko,Garen,Senna,Swain,Viktor,0
EUW1_7381007156,Ezreal,Pantheon,Riven,Sona,Viktor,Irelia,LeeSin,Mel,Nami,Yone,0
EUW1_7381054659,Camille,Chogath,Poppy,Rengar,Zeri,Gwen,Jhin,Khazix,Rakan,Zilean,0
EUW1_7381111161,Alistar,Nunu,Riven,Tristana,Yone,Ekko,Garen,Jhin,KSante,Leblanc,0
EUW1_7381153363,Aurora,Jhin,Lillia,Senna,Volibear,Bard,MissFortune,Nunu,Riven,Yone,0
EUW1_7381201680,Corki,Ekko,Jhin,Velkoz,Xerath,Karma,Lux,Riven,Varus,Warwick,0
EUW1_7381222347,Darius,Ezreal,Karma,Katarina,Sejuani,Camille,Kaisa,LeeSin,Lulu,Mel,1
EUW1_7381241006,Ambessa,Azir,Graves,Teemo,Zilean,Caitlyn,Elise,Galio,Riven,Zyra,1
EUW1_7381254877,Blitzcrank,DrMundo,Jayce,Kaisa,LeeSin,Gragas,Nautilus,Sion,Xayah,Yone,1
EUW1_7381275310,Karma,Kayle,Talon,XinZhao,Ziggs,Ashe,DrMundo,Graves,Janna,Vladimir,1
EUW1_7381641808,Annie,Bard,Kaisa,Naafiri,Nocturne,Ezreal,Mel,Rell,Riven,Viego,1
EUW1_7381668687,Kaisa,Sion,Soraka,Syndra,Zyra,Ekko,Mel,Nasus,Samira,Thresh,1
EUW1_7381673577,Jhin,Nocturne,Rell,Talon,Velkoz,Aurora,Kaisa,Riven,Thresh,Volibear,1
EUW1_7382264285,LeeSin,Ryze,Thresh,Vayne,Yasuo,Braum,Caitlyn,Ornn,Sejuani,Teemo,1
EUW1_7382300108,Graves,Mel,Tryndamere,Veigar,Zyra,Blitzcrank,Kaisa,LeeSin,Ornn,Ryze,0
EUW1_7383252331,Karthus,Mel,Riven,Varus,Zed,Camille,Ezreal,FiddleSticks,Pantheon,Sylas,1
EUW1_7383311629,Janna,Jinx,Riven,Syndra,Viego,Belveth,Blitzcrank,Nidalee,Xayah,Zoe,1
